portion_id,food_type,area_cm2,height_cm,volume_ml,weight_g,density_g_per_ml
apple001,apple,72.234,7.669,310.0,244.5,0.7887
apple002,apple,63.708,7.368,290.0,232.5,0.8017
apple003,apple,65.531,6.786,280.0,219.0,0.7821
apple004,apple,68.88,7.541,300.0,234.0,0.78
apple005,apple,74.931,7.76,280.0,212.5,0.7589
apple006,apple,70.104,7.623,290.0,238.0,0.8207
apple007,apple,84.256,7.792,420.0,325.0,0.7738
apple008,apple,79.904,7.305,300.0,238.0,0.7933
apple009,apple,80.634,8.704,360.0,288.5,0.8014
apple010,apple,77.023,7.664,330.0,260.5,0.7894
apple011,apple,75.101,6.912,310.0,230.0,0.7419
apple012,apple,68.41,7.305,310.0,246.0,0.7935
apple013,apple,63.286,7.574,350.0,252.5,0.7214
apple014,apple,61.636,7.259,290.0,236.0,0.8138
apple015,apple,87.737,7.5,390.0,293.5,0.7526
apple016,apple,75.785,7.43,330.0,272.5,0.8258
apple017,apple,110.505,6.701,330.0,255.0,0.7727
apple018,apple,76.029,6.769,290.0,231.5,0.7983
apple019,apple,71.169,8.796,300.0,255.0,0.85
banana001,banana,83.974,3.981,150.0,149.8,0.9987
banana002,banana,173.502,4.515,170.0,156.9,0.9229
banana003,banana,60.577,3.283,150.0,139.0,0.9267
banana004,banana,151.296,4.444,200.0,159.6,0.798
banana005,banana,200.531,2.628,150.0,153.5,1.0233
banana006,banana,170.453,3.377,150.0,144.0,0.96
banana007,banana,133.067,3.881,150.0,141.4,0.9427
banana008,banana,115.808,3.033,170.0,155.1,0.9124
banana009,banana,98.139,3.31,210.0,183.5,0.8738
banana010,banana,80.537,2.936,190.0,173.5,0.9132
banana011,banana,89.914,3.229,130.0,128.3,0.9869
banana012,banana,58.036,2.857,140.0,117.1,0.8364
banana013,banana,117.878,3.22,190.0,160.1,0.8426
banana014,banana,85.646,3.365,170.0,157.0,0.9235
banana015,banana,135.551,3.875,170.0,164.8,0.9694
bread001,bread,100.954,2.663,140.0,26.6,0.19
bread002,bread,102.954,3.342,150.0,28.8,0.192
bread003,bread,119.996,2.5,160.0,26.0,0.1625
bread004,bread,101.91,3.125,170.0,27.7,0.1629
bread005,bread,97.192,2.146,170.0,26.4,0.1553
bread006,bread,98.556,1.952,140.0,28.4,0.2029
bread007,bread,115.93,2.99,140.0,33.0,0.2357
bun001,bun,57.238,6.483,210.0,80.4,0.3829
bun002,bun,92.848,5.035,230.0,93.6,0.407
bun003,bun,93.616,6.139,270.0,93.2,0.3452
bun004,bun,93.66,6.791,270.0,83.9,0.3107
bun005,bun,77.635,6.725,210.0,69.1,0.329
bun006,bun,86.815,4.824,260.0,78.3,0.3012
bun007,bun,80.66,5.149,260.0,84.4,0.3246
bun008,bun,52.319,4.375,200.0,69.5,0.3475
doughnut001,doughnut,80.963,3.106,170.0,49.0,0.2882
doughnut002,doughnut,72.571,3.581,220.0,65.6,0.2982
doughnut003,doughnut,76.156,3.9,220.0,67.1,0.305
doughnut004,doughnut,80.716,3.309,200.0,62.5,0.3125
doughnut005,doughnut,91.639,3.47,220.0,64.4,0.2927
