portion_id,food_type,area_cm2,height_cm,side_area_cm2,top_aspect,top_circ,top_solidity,top_extent,top_elong,side_aspect,side_circ,side_solidity,side_extent,side_elong,volume_ml,weight_g,density_g_per_ml
apple001,apple,72.234,7.669,60.974,1.0221,0.2413,0.8739,0.829,0.0686,1.221,0.3789,0.9323,0.8354,0.2378,310.0,244.5,0.7887
apple002,apple,63.708,7.368,47.201,0.9667,0.8936,0.9953,0.7781,0.0448,1.0685,0.7576,0.9848,0.8044,0.0687,290.0,232.5,0.8017
apple003,apple,65.531,6.786,40.405,0.9665,0.8124,0.9839,0.7958,0.0259,1.0671,0.8527,0.9893,0.8253,0.0553,280.0,219.0,0.7821
apple004,apple,68.88,7.541,49.297,1.0031,0.7379,0.9867,0.8296,0.1568,1.0685,0.7186,0.989,0.8042,0.0463,300.0,234.0,0.78
apple005,apple,74.931,7.76,50.024,1.1172,0.5744,0.9405,0.8364,0.1633,1.0134,0.8843,0.9947,0.8139,0.0878,280.0,212.5,0.7589
apple006,apple,70.104,7.623,56.768,1.034,0.5414,0.9491,0.7924,0.1228,1.1822,0.5507,0.9743,0.8127,0.1348,290.0,238.0,0.8207
apple007,apple,84.256,7.792,56.072,0.9745,0.7735,0.9885,0.7968,0.0893,1.0917,0.89,0.9937,0.8398,0.0815,420.0,325.0,0.7738
apple008,apple,79.904,7.305,52.75,1.0,0.621,0.967,0.8328,0.1715,1.1872,0.8747,0.9895,0.8252,0.1611,300.0,238.0,0.7933
apple009,apple,80.634,8.704,63.039,0.9927,0.434,0.9242,0.8325,0.0367,1.0355,0.5356,0.9689,0.7879,0.0952,360.0,288.5,0.8014
apple010,apple,77.023,7.664,50.509,0.918,0.5657,0.9451,0.8057,0.1442,1.1096,0.7776,0.9705,0.7934,0.136,330.0,260.5,0.7894
apple011,apple,75.101,6.912,44.147,1.0256,0.4677,0.9407,0.7927,0.1397,1.1543,0.7914,0.9835,0.7858,0.1265,310.0,230.0,0.7419
apple012,apple,68.41,7.305,49.157,1.026,0.7509,0.9785,0.7743,0.0564,1.1486,0.8824,0.9934,0.8174,0.1233,310.0,246.0,0.7935
apple013,apple,63.286,7.574,51.64,1.0942,0.7553,0.9818,0.8423,0.1767,1.1019,0.3883,0.9346,0.8041,0.1497,350.0,252.5,0.7214
apple014,apple,61.636,7.259,56.764,1.162,0.8275,0.9901,0.7889,0.1488,1.2614,0.8411,0.9924,0.848,0.2122,290.0,236.0,0.8138
apple015,apple,87.737,7.5,51.334,1.0916,0.7852,0.992,0.8148,0.1993,1.1212,0.884,0.9924,0.8069,0.1203,390.0,293.5,0.7526
apple016,apple,75.785,7.43,47.013,0.9955,0.8015,0.9793,0.8521,0.1004,1.0379,0.6963,0.9726,0.7999,0.0482,330.0,272.5,0.8258
apple017,apple,110.505,6.701,52.619,1.0118,0.7854,1.0,0.9922,0.0131,1.2642,0.4122,0.9472,0.9122,0.211,330.0,255.0,0.7727
apple018,apple,76.029,6.769,43.55,1.0569,0.7152,0.9891,0.8469,0.1407,1.125,0.8805,0.9928,0.8365,0.1047,290.0,231.5,0.7983
apple019,apple,71.169,8.796,72.261,0.9456,0.3979,0.8887,0.7961,0.0646,1.1158,0.8577,0.9916,0.8298,0.089,300.0,255.0,0.85
banana001,banana,83.974,3.981,54.235,2.4276,0.2708,0.878,0.8689,0.6041,3.8837,0.5183,0.9783,0.8672,0.762,150.0,149.8,0.9987
banana002,banana,173.502,4.515,29.517,1.3341,0.6133,0.9697,0.8328,0.2349,1.7796,0.6101,0.9389,0.8047,0.4251,170.0,156.9,0.9229
banana003,banana,60.577,3.283,33.376,0.5333,0.4602,0.8396,0.6266,0.5819,3.8991,0.467,0.9293,0.7831,0.7785,150.0,139.0,0.9267
banana004,banana,151.296,4.444,23.074,1.4625,0.3965,0.9302,0.7731,0.3916,1.5562,0.7669,0.9836,0.7628,0.4134,200.0,159.6,0.798
banana005,banana,200.531,2.628,34.649,0.6597,0.6313,0.9869,0.9187,0.3379,5.7317,0.376,0.984,0.862,0.8501,150.0,153.5,1.0233
banana006,banana,170.453,3.377,24.947,1.4215,0.5822,0.9737,0.8836,0.2878,2.8462,0.5233,0.9661,0.7949,0.6899,150.0,144.0,0.96
banana007,banana,133.067,3.881,25.156,1.485,0.4554,0.9475,0.9416,0.3429,2.5288,0.4742,0.9094,0.6477,0.6377,150.0,141.4,0.9427
banana008,banana,115.808,3.033,44.287,0.512,0.6228,0.9886,0.9697,0.5142,5.4615,0.4121,0.9874,0.8698,0.8326,170.0,155.1,0.9124
banana009,banana,98.139,3.31,47.519,0.541,0.1786,0.6392,0.5244,0.4179,5.4362,0.2838,0.9606,0.7843,0.8375,210.0,183.5,0.8738
banana010,banana,80.537,2.936,36.555,0.5097,0.2828,0.677,0.5262,0.4637,5.0396,0.3896,0.9473,0.8303,0.8328,190.0,173.5,0.9132
banana011,banana,89.914,3.229,35.692,0.5321,0.544,0.9681,0.8204,0.4717,3.9355,0.513,0.9858,0.8581,0.7626,130.0,128.3,0.9869
