dish_id,food_class,area_cm2,long_cm,short_cm,total_mass_g,total_kcal,total_fat_g,total_carb_g,total_protein_g
dish_1558459276,white_rice,50.396,9.617,7.727,79.0,102.7,0.24,22.12,2.13
dish_1565033110,broccoli,32.725,8.954,7.959,147.0,47.6,0.59,9.36,3.42
dish_1558723777,apple,36.909,9.982,7.843,143.0,74.36,0.29,20.02,0.43
dish_1558376306,sausage,54.697,9.816,7.793,108.0,372.17,29.48,4.54,20.84
dish_1558637769,apple,33.697,9.402,7.71,154.0,80.08,0.31,21.56,0.46
dish_1558723449,apple,38.921,10.33,7.86,143.0,74.36,0.29,20.02,0.43
dish_1558642089,carrot,46.26,8.772,7.611,96.0,39.36,0.19,9.6,0.86
dish_1559319860,bacon,34.741,6.832,6.732,13.0,70.33,5.46,0.18,4.81
dish_1562086702,bacon,47.46,10.048,7.893,33.0,178.53,13.86,0.46,12.21
dish_1558720364,apple,38.499,10.032,7.793,142.0,73.84,0.28,19.88,0.43
dish_1560360055,sausage,33.593,6.798,5.77,180.0,362.73,27.79,4.15,22.56
dish_1562099053,pizza,42.701,7.644,5.969,37.0,98.38,3.48,12.39,4.14
dish_1568314823,avocado,54.863,7.694,7.495,90.0,144.0,13.5,8.1,1.8
dish_1565725047,carrot,14.647,7.909,1.907,110.0,77.66,4.84,9.37,0.95
dish_1561739954,sweet_potato,30.958,6.003,5.82,225.0,276.12,16.06,16.56,15.39
dish_1559240908,orange,49.826,10.115,7.744,128.0,60.16,0.13,15.36,1.15
dish_1558116201,sausage,42.754,9.004,7.694,91.0,313.59,24.84,3.82,17.56
dish_1562775212,oatmeal,25.884,7.76,5.754,136.0,92.48,1.9,16.32,3.26
dish_1560975517,broccoli,34.507,7.843,4.494,99.0,42.39,1.86,4.61,3.06
dish_1558724912,carrot,38.518,8.921,7.81,75.0,30.75,0.15,7.5,0.68
dish_1561405836,pizza,14.01,7.909,1.791,31.0,82.43,2.91,10.38,3.47
dish_1558458737,white_rice,44.899,9.087,7.727,32.0,41.6,0.1,8.96,0.86
dish_1558721726,apple,37.021,10.397,7.843,143.0,74.36,0.29,20.02,0.43
dish_1562876618,pizza,58.636,8.374,7.843,43.0,114.34,4.04,14.41,4.82
dish_1560788349,yogurt,53.605,9.767,7.827,134.0,78.93,0.54,4.82,13.4
dish_1565726812,broccoli,14.401,7.909,1.857,65.0,36.21,1.84,4.44,1.52
dish_1564073860,bacon,53.556,8.573,7.926,91.0,492.31,38.22,1.27,33.67
dish_1558639335,apple,49.541,9.949,7.81,116.0,60.32,0.23,16.24,0.35
dish_1558725253,broccoli,47.332,10.247,7.777,97.0,33.95,0.39,6.79,2.33
dish_1558628921,carrot,31.839,5.886,5.837,60.0,24.6,0.12,6.0,0.54
dish_1558032156,bacon,40.064,9.534,7.793,26.0,140.66,10.92,0.36,9.62
dish_1562699570,white_rice,57.362,8.042,7.611,22.0,24.42,0.2,5.06,0.57
dish_1562170163,pineapple,55.693,7.926,7.793,107.0,53.5,0.11,13.91,0.54
dish_1562611522,pizza,54.796,9.883,7.909,50.0,132.95,4.7,16.75,5.6
dish_1564588688,sausage,53.665,8.838,7.893,43.0,148.18,11.74,1.81,8.3
