dish_id,n5k_class,total_mass_g,total_kcal,total_fat_g,total_carb_g,total_protein_g
dish_1558459276,white rice,79.0,102.7,0.24,22.12,2.13
dish_1565033110,broccoli,147.0,47.6,0.59,9.36,3.42
dish_1558723777,apple,143.0,74.36,0.29,20.02,0.43
dish_1558376306,sausage,108.0,372.17,29.48,4.54,20.84
dish_1558637769,apple,154.0,80.08,0.31,21.56,0.46
dish_1558723449,apple,143.0,74.36,0.29,20.02,0.43
dish_1558642089,carrot,96.0,39.36,0.19,9.6,0.86
dish_1559319860,bacon,13.0,70.33,5.46,0.18,4.81
dish_1562086702,bacon,33.0,178.53,13.86,0.46,12.21
dish_1558720364,apple,142.0,73.84,0.28,19.88,0.43
dish_1560360055,sausage,180.0,362.73,27.79,4.15,22.56
dish_1562099053,cheese pizza,37.0,98.38,3.48,12.39,4.14
dish_1568314823,avocado,90.0,144.0,13.5,8.1,1.8
dish_1565725047,carrot,110.0,77.66,4.84,9.37,0.95
dish_1561739954,sweet potato,225.0,276.12,16.06,16.56,15.39
dish_1559240908,orange,128.0,60.16,0.13,15.36,1.15
dish_1558116201,sausage,91.0,313.59,24.84,3.82,17.56
dish_1562775212,oatmeal,136.0,92.48,1.9,16.32,3.26
dish_1560975517,broccoli,99.0,42.39,1.86,4.61,3.06
dish_1558724912,carrot,75.0,30.75,0.15,7.5,0.68
dish_1561405836,cheese pizza,31.0,82.43,2.91,10.38,3.47
dish_1558458737,white rice,32.0,41.6,0.1,8.96,0.86
dish_1558721726,apple,143.0,74.36,0.29,20.02,0.43
dish_1562876618,cheese pizza,43.0,114.34,4.04,14.41,4.82
dish_1560788349,yogurt,134.0,78.93,0.54,4.82,13.4
dish_1565726812,broccoli,65.0,36.21,1.84,4.44,1.52
dish_1564073860,bacon,91.0,492.31,38.22,1.27,33.67
dish_1558639335,apple,116.0,60.32,0.23,16.24,0.35
dish_1558725253,broccoli,97.0,33.95,0.39,6.79,2.33
dish_1558628921,carrot,60.0,24.6,0.12,6.0,0.54
dish_1558032156,bacon,26.0,140.66,10.92,0.36,9.62
dish_1562699570,brown rice,22.0,24.42,0.2,5.06,0.57
dish_1562170163,pineapple,107.0,53.5,0.11,13.91,0.54
dish_1562611522,cheese pizza,50.0,132.95,4.7,16.75,5.6
dish_1564588688,sausage,43.0,148.18,11.74,1.81,8.3
dish_1561739930,sweet potato,79.0,60.04,0.0,14.22,0.79
dish_1559158354,broccoli,60.0,21.0,0.24,4.2,1.44
dish_1557862738,steak,118.0,319.78,22.42,0.0,29.5
dish_1565627751,sweet potato,72.0,68.91,1.76,12.64,0.7
dish_1565119418,cheese pizza,122.0,324.4,11.47,40.87,13.66
dish_1560442258,bacon,185.0,289.37,16.4,21.11,15.09
dish_1559589873,mushroom,54.0,11.88,0.16,1.78,1.67
dish_1558544663,oatmeal,208.0,141.44,2.91,24.96,4.99
dish_1560887408,pizza,122.0,324.52,11.83,40.26,13.42
dish_1559233715,sweet potato,110.0,83.6,0.0,19.8,1.1
dish_1566328724,chicken,167.0,275.55,6.01,0.0,51.77
dish_1562963612,pizza,156.0,184.08,7.23,21.63,9.05
dish_1562961588,pizza,67.0,178.22,6.5,22.11,7.37
dish_1558640418,carrot,35.0,14.35,0.07,3.5,0.32
dish_1566316681,sweet potato,122.0,116.76,2.98,21.42,1.19
dish_1564686657,cheese pizza,105.0,279.19,9.87,35.17,11.76
dish_1562872150,mushroom,34.0,7.48,0.1,1.12,1.05
dish_1565974375,bacon,85.0,459.85,35.7,1.19,31.45
dish_1562085672,bread,46.0,122.08,1.93,19.46,6.21
dish_1562614895,broccoli,148.0,51.8,0.59,10.36,3.55
dish_1563217736,broccoli,67.0,23.45,0.27,4.69,1.61
dish_1565021054,tofu,144.0,263.75,13.85,25.22,11.45
dish_1564686702,cheese pizza,130.0,307.94,12.54,36.75,11.96
dish_1565117934,chicken breast,235.0,352.32,5.4,0.0,70.94
dish_1561752680,cheese pizza,175.0,465.32,16.45,58.62,19.6
dish_1558468401,avocado,47.0,75.2,7.05,4.23,0.94
dish_1561666794,cheese pizza,97.0,138.1,5.18,16.73,6.54
dish_1566317711,oatmeal,182.0,123.76,2.55,21.84,4.37
dish_1560788338,yogurt,121.0,71.27,0.48,4.36,12.1
dish_1563468199,pineapple,107.0,53.5,0.11,13.91,0.54
dish_1560444724,watermelon,343.0,113.28,0.51,28.49,1.89
dish_1561739623,broccoli,348.0,156.24,1.06,33.6,7.18
dish_1558381860,avocado,59.0,94.4,8.85,5.31,1.18
dish_1563898722,broccoli,303.0,343.35,23.47,9.87,23.23
dish_1568315988,tofu,69.0,50.37,3.31,1.31,5.52
dish_1563827086,cheese pizza,175.0,199.04,7.69,23.59,10.0
dish_1568666184,lettuce,190.0,28.5,0.38,5.51,2.66
dish_1568400967,broccoli,113.0,36.61,0.45,7.2,2.63
dish_1558549605,white rice,75.0,97.5,0.23,21.0,2.02
dish_1558724633,broccoli,94.0,32.9,0.38,6.58,2.26
dish_1558468589,mushroom,55.0,12.1,0.17,1.81,1.71
dish_1558641037,apple,117.0,60.84,0.23,16.38,0.35
dish_1567542778,cheese pizza,98.0,260.58,9.21,32.83,10.98
dish_1558468435,broccoli,80.0,28.0,0.32,5.6,1.92
dish_1559059954,bacon,20.0,108.2,8.4,0.28,7.4
dish_1559238481,orange,127.0,59.69,0.13,15.24,1.14
dish_1568665970,cheese pizza,167.0,202.18,7.74,24.12,9.98
dish_1563294441,pineapple,162.0,65.2,0.24,16.79,0.89
dish_1558031566,bacon,26.0,140.66,10.92,0.36,9.62
dish_1558631904,apple,154.0,80.08,0.31,21.56,0.46
dish_1562603536,bacon,14.0,75.74,5.88,0.2,5.18
dish_1558638216,white rice,43.0,55.9,0.13,12.04,1.16
dish_1558636902,carrot,95.0,38.95,0.19,9.5,0.85
dish_1558640074,apple,116.0,60.32,0.23,16.24,0.35
dish_1563308323,carrot,66.0,27.06,0.13,6.6,0.59
dish_1562872182,mushroom,296.0,41.54,0.63,6.89,4.98
dish_1558722322,carrot,92.0,37.72,0.18,9.2,0.83
dish_1562947409,pineapple,190.0,103.19,0.42,25.87,1.18
dish_1558550079,apple,142.0,73.84,0.28,19.88,0.43
dish_1559838214,bacon,8.0,43.28,3.36,0.11,2.96
dish_1562184628,bacon,121.0,444.01,32.88,0.6,35.41
dish_1558723512,carrot,39.0,15.99,0.08,3.9,0.35
dish_1565640772,chicken,191.0,241.17,5.15,2.86,43.66
dish_1563389413,broccoli,99.0,34.65,0.4,6.93,2.38
dish_1563305653,mushroom,117.0,25.74,0.35,3.86,3.63
dish_1558720097,carrot,74.0,30.34,0.15,7.4,0.67
dish_1558373284,sausage,113.0,389.4,30.85,4.75,21.81
dish_1558026714,bacon,24.0,129.84,10.08,0.34,8.88
dish_1558638844,apple,154.0,80.08,0.31,21.56,0.46
dish_1558379273,sausage,66.0,227.44,18.02,2.77,12.74
dish_1558373687,sausage,89.0,306.69,24.3,3.74,17.18
dish_1562704528,cheese pizza,56.0,148.9,5.26,18.76,6.27
dish_1558640593,apple,116.0,60.32,0.23,16.24,0.35
dish_1559232986,bacon,35.0,189.35,14.7,0.49,12.95
dish_1561737176,sausage,117.0,403.18,31.94,4.91,22.58
dish_1562690886,broccoli,37.0,20.61,1.05,2.53,0.87
dish_1558379639,sausage,112.0,385.95,30.58,4.7,21.62
dish_1559932674,orange,124.0,58.28,0.12,14.88,1.12
dish_1565728388,cheese pizza,47.0,124.97,4.42,15.75,5.26
dish_1558381665,broccoli,51.0,17.85,0.2,3.57,1.22
dish_1558723671,carrot,93.0,38.13,0.19,9.3,0.84
dish_1562874049,cheese pizza,155.0,412.14,14.57,51.93,17.36
dish_1558641164,apple,154.0,80.08,0.31,21.56,0.46
dish_1568320296,cheese pizza,85.0,226.01,7.99,28.48,9.52
dish_1562875211,pizza,147.0,282.24,10.54,34.45,12.35
dish_1563813833,sausage,207.0,256.87,14.24,3.23,25.44
dish_1562775373,bacon,148.0,329.08,24.96,2.31,22.36
dish_1563295292,bacon,22.0,119.02,9.24,0.31,8.14
dish_1562703382,pizza,145.0,203.87,5.89,31.32,6.99
dish_1564589025,sweet potato,51.0,48.81,1.24,8.96,0.5
dish_1558458847,apple,143.0,74.36,0.29,20.02,0.43
dish_1560442450,yogurt,149.0,87.76,0.6,5.36,14.9
dish_1558115512,sausage,126.0,434.2,34.4,5.29,24.32
dish_1564588533,sausage,167.0,236.07,14.16,2.95,21.44
dish_1565811000,chicken,225.0,342.85,7.46,0.72,64.13
dish_1560356523,bacon,92.0,497.72,38.64,1.29,34.04
dish_1559062051,sweet potato,74.0,56.24,0.0,13.32,0.74
dish_1561567053,watermelon,87.0,26.1,0.17,6.61,0.52
dish_1558717604,apple,142.0,73.84,0.28,19.88,0.43
dish_1562774475,sausage,128.0,320.96,22.85,13.52,14.56
dish_1561739576,sweet potato,84.0,63.84,0.0,15.12,0.84
dish_1558642490,carrot,187.0,61.95,0.47,14.1,2.51
dish_1567789154,sausage,111.0,382.51,30.3,4.66,21.42
dish_1557937079,bacon,27.0,146.07,11.34,0.38,9.99
dish_1558376734,sausage,60.0,206.76,16.38,2.52,11.58
dish_1558115764,bacon,28.0,151.48,11.76,0.39,10.36
dish_1564427406,grilled chicken,135.0,305.37,20.11,0.14,30.51
dish_1563302315,mushroom,63.0,13.86,0.19,2.08,1.95
dish_1558635546,apple,117.0,60.84,0.23,16.38,0.35
dish_1561060477,pineapple,105.0,141.02,3.92,22.05,4.91
dish_1565987269,cheese pizza,45.0,119.65,4.23,15.08,5.04
dish_1559059992,sweet potato,94.0,71.44,0.0,16.92,0.94
dish_1558548666,white rice,75.0,97.5,0.23,21.0,2.02
dish_1566851549,cheese pizza,85.0,226.01,7.99,28.48,9.52
dish_1562956486,tofu,142.0,103.66,6.82,2.7,11.36
dish_1558462228,white rice,17.0,22.1,0.05,4.76,0.46
dish_1558115915,sausage,59.0,203.31,16.11,2.48,11.39
dish_1562184604,steak,78.0,211.38,14.82,0.0,19.5
dish_1559589902,mushroom,76.0,16.37,0.18,2.64,2.16
dish_1565813386,tofu,156.0,113.88,7.49,2.96,12.48
dish_1560529825,watermelon,117.0,52.92,0.3,13.12,0.77
dish_1565894889,cheese pizza,74.0,257.81,11.17,33.29,6.64
dish_1561577083,cheese pizza,37.0,98.38,3.48,12.39,4.14
dish_1559846034,broccoli,32.0,11.2,0.13,2.24,0.77
dish_1564000202,cheese pizza,149.0,396.19,14.01,49.92,16.69
dish_1558546918,white rice,54.0,70.2,0.16,15.12,1.46
dish_1560799113,pizza,37.0,98.42,3.59,12.21,4.07
dish_1562947376,pineapple,73.0,36.5,0.07,9.49,0.36
dish_1561663035,cheese pizza,99.0,263.24,9.31,33.17,11.09
dish_1560787696,bacon,7.0,37.87,2.94,0.1,2.59
dish_1561481577,bacon,37.0,200.17,15.54,0.52,13.69
dish_1563827060,cheese pizza,55.0,146.24,5.17,18.43,6.16
dish_1559578551,bacon,23.0,124.43,9.66,0.32,8.51
dish_1558642420,carrot,95.0,38.95,0.19,9.5,0.85
dish_1558372695,sausage,43.0,148.18,11.74,1.81,8.3
dish_1562774346,cheese,264.0,422.65,31.81,4.19,28.29
dish_1559319902,pineapple,17.0,8.5,0.02,2.21,0.09
dish_1560527950,watermelon,77.0,23.1,0.15,5.85,0.46
dish_1562789207,cheese pizza,55.0,146.24,5.17,18.43,6.16
dish_1558717886,apple,142.0,73.84,0.28,19.88,0.43
dish_1565727765,broccoli,77.0,26.32,0.31,5.24,1.83
dish_1558380527,sausage,112.0,385.95,30.58,4.7,21.62
dish_1558725734,carrot,75.0,30.75,0.15,7.5,0.68
dish_1567801716,cheese pizza,38.0,101.04,3.57,12.73,4.26
dish_1558641211,carrot,8.0,3.28,0.02,0.8,0.07
dish_1560270585,pineapple,114.0,43.8,0.18,11.26,0.64
dish_1557936599,broccoli,63.0,22.05,0.25,4.41,1.51
dish_1559838279,bacon,114.0,103.7,3.68,14.95,3.7
dish_1558721559,carrot,92.0,37.72,0.18,9.2,0.83
dish_1558630600,apple,142.0,73.84,0.28,19.88,0.43
dish_1566328894,cheese pizza,89.0,236.65,8.37,29.82,9.97
dish_1562963583,pizza,52.0,138.32,5.04,17.16,5.72
dish_1565020755,bacon,8.0,43.28,3.36,0.11,2.96
dish_1558639167,apple,154.0,80.08,0.31,21.56,0.46
dish_1559149650,carrot,64.0,26.24,0.13,6.4,0.58
dish_1558030383,bacon,26.0,140.66,10.92,0.36,9.62
dish_1561663541,brown rice,112.0,124.32,1.01,25.76,2.91
dish_1561654732,sweet potato,191.0,242.36,14.85,12.24,14.06
dish_1564427430,grilled chicken,170.0,345.62,23.86,2.34,30.79
dish_1561060448,cheese pizza,41.0,109.02,3.85,13.74,4.59
dish_1558628339,bacon,13.0,70.33,5.46,0.18,4.81
dish_1558637351,apple,154.0,80.08,0.31,21.56,0.46
dish_1564774773,broccoli,90.0,50.14,2.55,6.15,2.11
dish_1562963246,cheese pizza,122.0,324.4,11.47,40.87,13.66
dish_1562945131,broccoli,67.0,37.32,1.9,4.58,1.57
dish_1562784242,pizza,32.0,85.12,3.1,10.56,3.52
dish_1558375833,sausage,92.0,317.03,25.12,3.86,17.76
dish_1559925037,bacon,10.0,54.1,4.2,0.14,3.7
dish_1562173411,bacon,159.0,638.26,50.17,5.39,38.83
dish_1559240256,broccoli,54.0,18.9,0.22,3.78,1.3
dish_1564777933,cheese pizza,39.0,103.7,3.67,13.07,4.37
dish_1565117429,cheese pizza,147.0,390.87,13.82,49.25,16.46
dish_1563897938,bacon,10.0,54.1,4.2,0.14,3.7
dish_1566934366,cheese pizza,33.0,87.75,3.1,11.05,3.7
dish_1561134102,watermelon,81.0,24.3,0.16,6.16,0.49
dish_1562946006,sausage,224.0,535.98,41.59,6.29,32.07
dish_1563468240,pineapple,239.0,93.1,0.37,23.94,1.33
dish_1561049320,bacon,19.0,102.79,7.98,0.27,7.03
dish_1558114441,sausage,75.0,258.45,20.48,3.15,14.47
dish_1558722636,carrot,75.0,30.75,0.15,7.5,0.68
dish_1558632921,apple,155.0,80.6,0.31,21.7,0.47
dish_1558109986,sausage,75.0,258.45,20.48,3.15,14.47
dish_1567020340,broccoli,168.0,93.59,4.75,11.47,3.93
dish_1564690038,lentils,81.0,92.34,0.32,16.2,7.29
dish_1558640808,carrot,26.0,10.66,0.05,2.6,0.23
dish_1558719570,apple,143.0,74.36,0.29,20.02,0.43
dish_1568047932,broccoli,55.0,30.64,1.56,3.76,1.29
dish_1558641200,carrot,8.0,3.28,0.02,0.8,0.07
dish_1561578775,cheese pizza,111.0,295.15,10.43,37.19,12.43
