class,density_g_per_ml,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,typical_long_cm,typical_mass_g,mass_min_g,mass_max_g,mass_per_cm2
apple,0.85,52,0.3,14.0,0.2,8.0,180,100,280,4.775
avocado,1.0,160,2.0,9.0,15.0,10.0,200,140,280,3.395
bacon,1.0,540,37.0,1.4,42.0,12.0,30,10,80,0.354
banana,0.94,89,1.1,23.0,0.3,18.0,120,80,180,0.629
beef,1.05,250,26.0,0.0,15.0,12.0,180,100,300,2.122
bell_pepper,0.9,31,1.0,6.0,0.3,9.0,160,90,250,3.353
blueberry,0.95,57,0.7,14.0,0.3,1.2,1,1,2,1.179
blueberry_muffin,0.45,360,6.0,50.0,16.0,8.0,90,60,150,2.387
boiled_egg,1.03,155,13.0,1.1,11.0,5.5,55,45,70,3.087
bread,0.3,265,9.0,49.0,3.2,12.0,40,25,80,0.472
broccoli,0.55,34,2.8,7.0,0.4,12.0,120,60,250,1.415
brown_rice,0.85,110,2.6,23.0,0.9,14.0,180,100,350,1.559
burrito,0.8,210,9.0,22.0,9.0,18.0,300,180,500,1.572
carrot,1.0,41,0.9,10.0,0.2,15.0,90,40,200,0.679
cheese,1.05,402,25.0,1.3,33.0,8.0,30,10,80,0.796
cherry,1.0,50,1.0,12.0,0.3,2.5,8,4,15,2.173
chicken_breast,1.05,165,31.0,0.0,3.6,14.0,180,100,280,1.559
chocolate,1.1,546,4.9,61.0,31.0,12.0,35,10,80,0.413
cookie,0.5,480,5.0,64.0,23.0,6.5,25,10,60,1.005
corn,0.9,86,3.2,19.0,1.2,18.0,150,80,250,0.786
croissant,0.4,406,8.0,45.0,21.0,14.0,60,40,100,0.52
cucumber,0.95,15,0.7,3.6,0.1,20.0,200,100,400,0.849
cupcake,0.5,370,4.0,53.0,16.0,7.0,70,40,130,2.425
donut,0.4,410,5.0,47.0,23.0,10.0,60,40,90,1.019
dumplings,0.9,200,8.0,25.0,8.0,12.0,150,80,300,1.768
egg,1.03,143,13.0,1.1,9.5,5.5,55,45,70,3.087
french_fries,0.5,310,3.4,41.0,15.0,12.0,150,80,300,1.768
fried_egg,1.03,196,14.0,0.8,15.0,9.0,55,45,70,1.153
fried_rice,0.85,170,5.0,24.0,6.0,16.0,250,150,450,1.658
grape,1.0,69,0.7,18.0,0.2,2.0,6,3,12,2.546
grilled_chicken,1.05,200,30.0,0.0,8.0,14.0,180,100,280,1.559
grilled_salmon,1.0,210,23.0,0.0,13.0,14.0,180,100,280,1.559
half_avocado,1.0,160,2.0,9.0,15.0,9.0,100,60,150,2.096
hamburger,0.9,250,13.0,28.0,10.0,12.0,230,150,380,2.712
hot_dog,0.8,290,11.0,23.0,17.0,16.0,130,80,200,0.862
ice_cream,0.6,210,4.0,24.0,11.0,10.0,100,60,200,1.698
kiwi,1.0,61,1.1,15.0,0.5,7.0,75,40,120,2.598
lemon,0.9,29,1.1,9.0,0.3,6.5,85,50,130,3.415
lime,0.9,30,0.7,11.0,0.2,5.0,60,30,90,4.074
litchi,1.0,66,0.8,17.0,0.4,3.5,20,10,35,2.772
mango,1.0,60,0.8,15.0,0.4,11.0,250,150,400,3.508
milk,1.03,60,3.2,4.8,3.3,7.0,240,150,350,8.315
muffin,0.45,365,6.0,47.0,17.0,8.0,90,60,150,2.387
mushroom,0.6,22,3.1,3.3,0.3,5.0,20,8,60,1.358
oatmeal,1.0,71,2.5,12.0,1.5,12.0,220,150,350,2.594
omelette,1.0,154,11.0,0.6,11.7,16.0,180,100,300,1.194
orange,0.95,47,0.9,12.0,0.1,8.0,180,90,280,4.775
